City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,mahina,-17.5065,-149.489,27.87,61,20,8.23,PF,1725838641
197,la jolla,32.8473,-117.2742,37.64,37,0,7.2,US,1725838643
198,badger,64.8,-147.5333,12.21,88,100,1.54,US,1725838644
199,lorengau,-2.0226,147.2712,29.2,68,58,8.03,PG,1725838645
200,shush,32.1942,48.2436,32.61,12,0,1.69,IR,1725838646
201,pisco,-13.7,-76.2167,19.03,72,23,3.6,PE,1725838647
202,torbat-e jam,35.244,60.6225,16.9,23,0,5.39,IR,1725838648
203,porto novo,6.4965,2.6036,23.8,90,15,2.46,BJ,1725838649
204,urumqi,43.801,87.6005,10.53,66,0,1.0,CN,1725838650
205,selfoss,63.9331,-20.9971,2.72,77,99,4.43,IS,1725838652
206,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,44,75,7.0,RU,1725838654
207,sretensk,52.2453,117.7093,18.81,56,100,5.38,RU,1725838655
208,rongelap,11.1635,166.8941,28.65,77,22,8.33,MH,1725838656
209,scottburgh,-30.2867,30.7532,15.31,73,100,9.97,ZA,1725838657
210,constantia,44.1833,28.65,16.5,58,0,3.38,RO,1725838659
211,coquimbo,-29.9533,-71.3436,11.85,93,0,3.09,CL,1725838660
212,soure,-0.7167,-48.5233,27.22,77,28,7.31,BR,1725838661
213,powell,40.1578,-83.0752,19.95,42,0,2.57,US,1725838662
214,evanston,42.0411,-87.6901,22.1,49,40,4.63,US,1725838663
215,barclayville,4.6797,-8.2339,24.23,85,99,3.77,LR,1725838664
216,tyukhtet,56.5389,89.3011,9.56,96,100,4.96,RU,1725838665
217,itamaraca,-7.7478,-34.8256,23.27,87,42,5.61,BR,1725838667
218,kikwit,-5.041,18.8162,23.7,84,100,0.81,CD,1725838668
219,dipayal,29.2608,80.94,23.14,94,39,1.43,NP,1725838669
220,verkhnevilyuysk,63.4453,120.3167,9.38,83,86,1.79,RU,1725838670
